Global Logger,4-10-2024,17:18:56
4-10-24, 10:49:24, -0.005, 16.56
4-10-24, 10:49:25, -0.005, 16.56
4-10-24, 10:49:26, -0.005, 16.56
4-10-24, 10:49:27, -0.005, 16.56
4-10-24, 10:49:28, -0.005, 16.56
4-10-24, 10:49:29, -0.005, 16.56
4-10-24, 10:49:30, -0.005, 16.56
4-10-24, 10:49:31, -0.005, 16.56
4-10-24, 10:49:32, -0.005, 16.56
4-10-24, 10:49:33, -0.005, 16.56
4-10-24, 10:49:34, -0.005, 16.56
4-10-24, 10:49:35, -0.005, 16.56
4-10-24, 10:49:36, -0.005, 16.56
4-10-24, 10:49:37, -0.005, 16.56
4-10-24, 10:49:38, -0.005, 16.56
4-10-24, 10:49:39, -0.005, 16.56
4-10-24, 10:49:40, -0.005, 16.56
4-10-24, 10:49:41, -0.005, 16.56
4-10-24, 10:49:42, -0.002, 16.56
4-10-24, 10:49:43, -0.005, 16.56
4-10-24, 10:49:44, -0.005, 16.56
4-10-24, 10:49:45, -0.005, 16.56
4-10-24, 10:49:46, -0.005, 16.56
4-10-24, 10:49:47, -0.005, 16.55
4-10-24, 10:49:48, -0.005, 16.55
4-10-24, 10:49:49, -0.005, 16.55
4-10-24, 10:49:50, -0.005, 16.56
4-10-24, 10:49:51, -0.005, 16.56
4-10-24, 10:49:52, -0.005, 16.55
4-10-24, 10:49:53, -0.005, 16.56
4-10-24, 10:49:54, -0.005, 16.56
4-10-24, 10:49:55, -0.005, 16.56
4-10-24, 10:49:56, -0.005, 16.56
4-10-24, 10:49:57, -0.005, 16.55
4-10-24, 10:49:58, -0.005, 16.56
4-10-24, 10:49:59, -0.005, 16.55
4-10-24, 10:50:00, -0.005, 16.56
4-10-24, 10:50:01, -0.005, 16.55
4-10-24, 10:50:02, -0.005, 16.56
4-10-24, 10:50:03, -0.005, 16.55
4-10-24, 10:50:04, -0.005, 16.56
4-10-24, 10:50:05, -0.005, 16.56
4-10-24, 10:50:06, -0.005, 16.56
4-10-24, 10:50:07, -0.005, 16.56
4-10-24, 10:50:08, -0.005, 16.56
4-10-24, 10:50:09, -0.002, 16.55
4-10-24, 10:50:10, -0.005, 16.56
4-10-24, 10:50:11, -0.005, 16.55
4-10-24, 10:50:12, -0.005, 16.56
4-10-24, 10:50:13, -0.005, 16.56
4-10-24, 10:50:14, -0.005, 16.56
4-10-24, 10:50:15, -0.005, 16.56
4-10-24, 10:50:16, -0.005, 16.56
4-10-24, 10:50:17, -0.005, 16.56
4-10-24, 10:50:18, -0.005, 16.56
4-10-24, 10:50:19, -0.005, 16.56
4-10-24, 10:50:20, -0.002, 16.56
4-10-24, 10:50:21, -0.005, 16.56
4-10-24, 10:50:22, -0.005, 16.56
4-10-24, 10:50:23, -0.005, 16.56
4-10-24, 10:50:24, -0.005, 16.56
4-10-24, 10:50:25, -0.005, 16.56
4-10-24, 10:50:26, -0.005, 16.56
4-10-24, 10:50:27, -0.005, 16.56
4-10-24, 10:50:28, -0.005, 16.56
4-10-24, 10:50:29, -0.005, 16.56
4-10-24, 10:50:30, -0.005, 16.56
4-10-24, 10:50:31, -0.005, 16.55
4-10-24, 10:50:32, -0.005, 16.56
4-10-24, 10:50:33, -0.005, 16.56
4-10-24, 10:50:34, -0.005, 16.56
4-10-24, 10:50:35, -0.005, 16.56
4-10-24, 10:50:36, -0.005, 16.55
4-10-24, 10:50:37, -0.005, 16.55
4-10-24, 10:50:38, -0.005, 16.56
4-10-24, 10:50:39, -0.005, 16.56
4-10-24, 10:50:40, -0.005, 16.56
4-10-24, 10:50:41, -0.005, 16.56
4-10-24, 10:50:42, -0.005, 16.55
4-10-24, 10:50:43, -0.005, 16.56
4-10-24, 10:50:44, -0.005, 16.56
4-10-24, 10:50:45, -0.005, 16.56
4-10-24, 10:50:46, -0.005, 16.56
4-10-24, 10:50:47, -0.005, 16.55
4-10-24, 10:50:48, -0.005, 16.55
4-10-24, 10:50:49, -0.005, 16.55
4-10-24, 10:50:50, -0.005, 16.56
4-10-24, 10:50:51, -0.005, 16.56
4-10-24, 10:50:52, -0.005, 16.56
4-10-24, 10:50:53, -0.005, 16.56
4-10-24, 10:50:54, -0.005, 16.56
4-10-24, 10:50:55, -0.005, 16.55
4-10-24, 10:50:56, -0.005, 16.55
4-10-24, 10:50:57, -0.005, 16.56
4-10-24, 10:50:58, -0.005, 16.55
4-10-24, 10:50:59, -0.005, 16.55
4-10-24, 10:51:00, -0.005, 16.56
4-10-24, 10:51:01, -0.005, 16.56
4-10-24, 10:51:02, -0.005, 16.55
4-10-24, 10:51:03, -0.005, 16.55
4-10-24, 10:51:04, -0.005, 16.56
4-10-24, 10:51:05, -0.005, 16.55
4-10-24, 10:51:06, -0.005, 16.55
4-10-24, 10:51:07, -0.005, 16.55
4-10-24, 10:51:08, -0.005, 16.55
4-10-24, 10:51:09, -0.005, 16.56
4-10-24, 10:51:10, -0.005, 16.55
4-10-24, 10:51:11, -0.005, 16.56
4-10-24, 10:51:12, -0.005, 16.55
4-10-24, 10:51:13, -0.002, 16.56
4-10-24, 10:51:14, -0.005, 16.56
4-10-24, 10:51:15, -0.005, 16.55
4-10-24, 10:51:16, -0.005, 16.55
4-10-24, 10:51:17, -0.005, 16.56
4-10-24, 10:51:18, -0.005, 16.55
4-10-24, 10:51:19, -0.005, 16.55
4-10-24, 10:51:20, -0.005, 16.55
4-10-24, 10:51:21, -0.005, 16.55
4-10-24, 10:51:22, -0.005, 16.56
4-10-24, 10:51:23, -0.005, 16.56
4-10-24, 10:51:24, -0.005, 16.55
4-10-24, 10:51:25, -0.005, 16.56
4-10-24, 10:51:26, -0.005, 16.55
4-10-24, 10:51:27, -0.005, 16.56
4-10-24, 10:51:28, -0.005, 16.56
4-10-24, 10:51:29, -0.005, 16.56
4-10-24, 10:51:30, -0.005, 16.56
4-10-24, 10:51:31, -0.005, 16.56
4-10-24, 10:51:32, -0.005, 16.56
4-10-24, 10:51:33, -0.005, 16.56
4-10-24, 10:51:34, -0.005, 16.56
4-10-24, 10:51:35, -0.005, 16.55
4-10-24, 10:51:36, -0.005, 16.55
4-10-24, 10:51:37, -0.005, 16.55
4-10-24, 10:51:38, -0.005, 16.56
4-10-24, 10:51:39, -0.002, 16.56
4-10-24, 10:51:40, -0.002, 16.56
4-10-24, 10:51:41, -0.005, 16.55
4-10-24, 10:51:42, -0.005, 16.56
4-10-24, 10:51:43, -0.005, 16.55
4-10-24, 10:51:44, -0.005, 16.55
4-10-24, 10:51:45, -0.005, 16.55
4-10-24, 10:51:46, -0.005, 16.56
4-10-24, 10:51:47, -0.005, 16.56
4-10-24, 10:51:48, -0.002, 16.55
4-10-24, 10:51:49, -0.005, 16.55
4-10-24, 10:51:50, -0.005, 16.55
4-10-24, 10:51:51, -0.005, 16.55
4-10-24, 10:51:52, -0.005, 16.55
4-10-24, 10:51:53, -0.005, 16.55
4-10-24, 10:51:54, -0.005, 16.56
4-10-24, 10:51:55, -0.005, 16.55
4-10-24, 10:51:56, -0.002, 16.55
4-10-24, 10:51:57, -0.005, 16.55
4-10-24, 10:51:58, -0.005, 16.55
4-10-24, 10:51:59, -0.005, 16.55
4-10-24, 10:52:00, -0.005, 16.56
4-10-24, 10:52:01, -0.002, 16.55
4-10-24, 10:52:02, -0.005, 16.56
4-10-24, 10:52:03, -0.005, 16.55
4-10-24, 10:52:04, -0.005, 16.56
4-10-24, 10:52:05, -0.005, 16.55
4-10-24, 10:52:06, -0.005, 16.55
4-10-24, 10:52:07, -0.005, 16.55
4-10-24, 10:52:08, -0.005, 16.55
4-10-24, 10:52:09, -0.005, 16.55
4-10-24, 10:52:10, -0.005, 16.55
4-10-24, 10:52:11, -0.005, 16.55
4-10-24, 10:52:12, -0.002, 16.56
4-10-24, 10:52:13, -0.005, 16.55
4-10-24, 10:52:14, -0.005, 16.56
4-10-24, 10:52:15, -0.005, 16.55
4-10-24, 10:52:16, -0.005, 16.55
4-10-24, 10:52:17, -0.005, 16.56
4-10-24, 10:52:18, -0.005, 16.55
4-10-24, 10:52:19, -0.005, 16.55
4-10-24, 10:52:20, -0.002, 16.55
4-10-24, 10:52:21, -0.005, 16.55
4-10-24, 10:52:22, -0.005, 16.55
4-10-24, 10:52:23, -0.005, 16.56
4-10-24, 10:52:24, -0.005, 16.55
4-10-24, 10:52:25, -0.005, 16.55
4-10-24, 10:52:26, -0.002, 16.55
4-10-24, 10:52:27, -0.002, 16.55
4-10-24, 10:52:28, -0.005, 16.56
4-10-24, 10:52:29, -0.005, 16.55
4-10-24, 10:52:30, -0.005, 16.56
4-10-24, 10:52:31, -0.005, 16.56
4-10-24, 10:52:32, -0.005, 16.55
4-10-24, 10:52:33, -0.005, 16.55
4-10-24, 10:52:34, -0.005, 16.55
4-10-24, 10:52:35, -0.002, 16.55
4-10-24, 10:52:36, -0.005, 16.55
4-10-24, 10:52:37, -0.005, 16.55
4-10-24, 10:52:38, -0.002, 16.55
4-10-24, 10:52:39, -0.002, 16.56
4-10-24, 10:52:40, -0.005, 16.55
4-10-24, 10:52:41, -0.005, 16.55
4-10-24, 10:52:42, -0.005, 16.55
4-10-24, 10:52:43, -0.002, 16.55
4-10-24, 10:52:44, -0.005, 16.55
4-10-24, 10:52:45, -0.005, 16.55
4-10-24, 10:52:46, -0.005, 16.55
4-10-24, 10:52:47, -0.005, 16.55
4-10-24, 10:52:48, -0.002, 16.55
4-10-24, 10:52:49, -0.005, 16.55
4-10-24, 10:52:50, -0.005, 16.55
4-10-24, 10:52:51, -0.002, 16.55
